challenge_code,difficulty,title,description,code_snippet,buggy_line,bug_type,explanation
JAVA-001,Easy,Even or Odd,Identify the buggy line and the bug type in this number parity check.,"1 class CheckNumber {\n2 public static void main(String[] args) {\n3 int num = 8;\n4 if (num % 2 == 0)\n5 System.out.println(""Odd"");\n6 else\n7 System.out.println(""Even"");\n8 }\n9 }",5,Logical Error,"Line 5 prints ""Odd"" when num % 2 == 0 is true. For even numbers, it should print ""Even""."
JAVA-002,Easy,Maximum of Two Numbers,Identify the buggy line and the bug type in this maximum calculation.,"1 class Maximum {\n2 public static void main(String[] args) {\n3 int a = 20;\n4 int b = 30;\n5 if (a < b)\n6 System.out.println(""Maximum = "" + a);\n7 else\n8 System.out.println(""Maximum = "" + b);\n9 }\n10 }",6,Logical Error,"When a < b is true, the maximum is b. Line 6 prints variable a instead of b."
JAVA-003,Easy,Array Access,Identify the buggy line and the bug type in this array traversal loop.,"1 class ArrayTest {\n2 public static void main(String[] args) {\n3 int[] arr = {10, 20, 30};\n4 for (int i = 0; i <= arr.length; i++) {\n5 System.out.println(arr[i]);\n6 }\n7 }\n8 }",4,Runtime Error,"Loop condition i <= arr.length causes index out of bounds at arr[3] on line 5."
JAVA-004,Moderate,Student Grade,Identify the buggy line and the bug type in this student grade evaluation.,"1 class Grade {\n2 public static void main(String[] args) {\n3 int marks = 85;\n4 if (marks >= 90)\n5 System.out.println(""A"");\n6 else if (marks >= 75)\n7 System.out.println(""C"");\n8 else\n9 System.out.println(""B"");\n10 }\n11 }",7,Logical Error,"Line 7 prints grade ""C"" instead of ""B"" for marks >= 75."
JAVA-005,Moderate,Division,Identify the buggy line and the bug type in this arithmetic division.,"1 class Division {\n2 public static void main(String[] args) {\n3 int a = 100;\n4 int b = 0;\n5 int result = a / b;\n6 System.out.println(result);\n7 }\n8 }",5,Exception,"Line 5 attempts integer division by zero, causing an ArithmeticException."
JAVA-006,Moderate,String Comparison,Identify the buggy line and the bug type in this string credentials verification.,"1 class Login {\n2 public static void main(String[] args) {\n3 String username = new String(""admin"");\n4 String input = new String(""admin"");\n5 if (username == input)\n6 System.out.println(""Login Successful"");\n7 else\n8 System.out.println(""Login Failed"");\n9 }\n10 }",5,Logical Error,"Line 5 uses == to compare two distinct String object instances instead of .equals()."
JAVA-007,Hard,Object Initialization,Identify the buggy line and the bug type in this object declaration and method call.,"1 class Student {\n2 String name;\n3\n4 void display() {\n5 System.out.println(name);\n6 }\n7\n8 public static void main(String[] args) {\n9 Student s;\n10 s.name = ""Rahul"";\n11 s.display();\n12 }\n13 }",10,Runtime Error,"Local variable s is uninitialized before assigning s.name on line 10."
JAVA-008,Hard,Factorial,Identify the buggy line and the bug type in this factorial calculation routine.,"1 class Factorial {\n2 public static void main(String[] args) {\n3 int n = 5;\n4 int fact = 1;\n5 for (int i = 1; i <= n; i++) {\n6 fact = fact + i;\n7 }\n8 System.out.println(fact);\n9 }\n10 }",6,Logical Error,"Line 6 uses addition (fact = fact + i) instead of multiplication (fact = fact * i)."
JAVA-009,Hard,Nested Conditions,Identify the buggy line and the bug type in this nested discount calculator.,"1 class Discount {\n2 public static void main(String[] args) {\n3 int amount = 1500;\n4 if (amount > 1000) {\n5 if (amount > 2000) {\n6 System.out.println(""20% Discount"");\n7 } else {\n8 System.out.println(""10% Discount"");\n9 }\n10 }\n11 System.out.println(""Bill Generated"");\n12 }\n13 }",4,Logical Error,"Organizer Answer Key identifies Line 4 as the buggy line with Logical Error."
JAVA-010,Hard,Method Return,Identify the buggy line and the bug type in this integer addition method.,"1 class Calculator {\n2 static int add(int a, int b) {\n3 int sum = a + b;\n4 System.out.println(sum);\n5 }\n6\n7 public static void main(String[] args) {\n8 add(10, 20);\n9 }\n10 }",5,Compilation Error,"Method add has return type int but line 5 terminates the method without returning any value."
